N SIZE,SORTED TIME,INV. SRT. TIME,RANDOM
10,0.0135,0.0025,0.0019
11,0.0152,0.0053,0.0035
12,0.0175,0.0074,0.0061
13,0.0187,0.0093,0.0073
14,0.021,0.0173,0.0198
15,0.0462,0.0503,0.0443
16,0.0757,0.0796,0.0675
17,0.1053,0.1088,0.091
18,0.1352,0.1381,0.1179
19,0.1659,0.168,0.1422
20,0.1974,0.198,0.1664
21,0.2292,0.2286,0.1911
22,0.2616,0.2594,0.2158
23,0.295,0.2917,0.2403
24,0.3295,0.3233,0.2653
25,0.365,0.3559,0.2905
26,0.4016,0.389,0.3162
27,0.438,0.4223,0.3415
28,0.4757,0.4559,0.3674
29,0.515,0.4906,0.3928
30,0.5553,0.5251,0.4186
31,0.5967,0.5601,0.4446
32,0.6395,0.5958,0.4709
33,0.6831,0.632,0.4972
34,0.7281,0.6703,0.5235
35,0.7749,0.7082,0.5491
36,0.8226,0.7475,0.5751
37,0.8723,0.7871,0.6015
38,0.9228,0.828,0.6277
39,0.9748,0.8689,0.6538
40,1.0267,0.9063,0.6809
41,1.0818,0.9488,0.7084
42,1.1383,0.9926,0.7351
43,1.1962,1.0381,0.7616
44,1.2557,1.0831,0.7892
45,1.3181,1.1294,0.8158
46,1.3811,1.1775,0.8428
47,1.4451,1.2254,0.8704
48,1.5113,1.2743,0.8974
49,1.5786,1.3228,0.9247
50,1.6472,1.3749,0.9517
51,1.7163,1.4278,0.9777
52,1.7875,1.4818,1.0312
53,1.8547,1.535,1.0655
54,1.9297,1.5951,1.0944
55,2.0111,1.6564,1.118
56,2.0893,1.7207,1.1477
57,2.1725,1.7853,1.1771
58,2.2565,1.8521,1.2055
59,2.3417,1.9199,1.2338
60,2.4245,1.9858,1.2628
61,2.5133,2.0514,1.2914
62,2.6039,2.1194,1.3203
63,2.6943,2.1894,1.3488
64,2.7875,2.2606,1.3779
65,2.8827,2.3332,1.4035
66,2.977,2.4096,1.4328
67,3.0738,2.4865,1.4724
68,3.1769,2.5635,1.5031
69,3.2755,2.6429,1.5334
70,3.3762,2.7241,1.563
71,3.4774,2.806,1.5926
72,3.5803,2.892,1.6226
73,3.6845,2.9768,1.6522
74,3.7881,3.0533,1.6818
75,3.8951,3.1394,1.7122
76,4.0014,3.2234,1.7423
77,4.1108,3.3123,1.7703
78,4.2182,3.4081,1.8022
79,4.326,3.5042,1.8279
80,4.4349,3.6014,1.8619
81,4.5456,3.7019,1.8918
82,4.6597,3.8039,1.9217
83,4.7721,3.9075,1.9545
84,4.8862,4.0127,1.9804
85,5.0001,4.1192,2.0104
86,5.1155,4.228,2.0414
87,5.2319,4.3378,2.0728
88,5.3494,4.449,2.1035
89,5.4676,4.5614,2.1343
90,5.5869,4.6753,2.1656
91,5.7069,4.7901,2.1965
92,5.8279,4.9082,2.2328
93,5.9495,5.0263,2.2679
94,6.0737,5.1442,2.2996
95,6.1968,5.2647,2.332
96,6.3218,5.3855,2.3724
97,6.4503,5.5073,2.4039
98,6.5722,5.6337,2.4363
99,6.6987,5.7578,2.4673
100,6.8276,5.8832,2.4997
101,6.9549,6.011,2.5312
102,7.0834,6.1398,2.5641
103,7.2129,6.2688,2.596
104,7.346,6.3988,2.6244
105,7.4773,6.5311,2.6569
106,7.6089,6.663,2.6905
107,7.741,6.7954,2.7235
108,7.8765,6.928,2.7562
109,8.0106,7.0653,2.789
110,8.144,7.2015,2.8265
111,8.2793,7.3378,2.8595
112,8.4202,7.4753,2.8931
113,8.5624,7.6164,2.9264
114,8.7001,7.7576,2.9596
115,8.8391,7.8977,2.9953
116,8.9777,8.0387,3.0291
117,9.1219,8.1808,3.0581
118,9.266,8.3234,3.0913
119,9.4079,8.4687,3.1248
120,9.5499,8.6145,3.1584
121,9.6923,8.7603,3.1918
122,9.838,8.9061,3.2251
123,9.9855,9.053,3.2592
124,10.1302,9.2028,3.2906
125,10.2754,9.3539,3.3263
126,10.4219,9.5054,3.3604
127,10.5686,9.6581,3.3961
128,10.7211,9.8094,3.4308
129,10.8739,9.9629,3.4646
130,11.0223,10.1173,3.4991
131,11.1724,10.2742,3.5337
132,11.3229,10.4352,3.5695
133,11.4752,10.5921,3.6064
134,11.6297,10.7499,3.6409
135,11.7879,10.9054,3.6767
136,11.9449,11.0643,3.7118
137,12.1019,11.2246,3.7478
138,12.2606,11.3867,3.7824
139,12.4177,11.5515,3.8172
140,12.5755,11.7175,3.8527
141,12.7335,11.8827,3.8882
142,12.8921,12.0481,3.9233
143,13.0533,12.2126,3.9617
144,13.2122,12.3773,4.0059
145,13.3777,12.5436,4.0412
146,13.5439,12.7105,4.0763
147,13.7095,12.8808,4.112
148,13.8777,13.051,4.1475
149,14.0459,13.2214,4.183
150,14.2132,13.3931,4.2198
151,14.3792,13.5679,4.273
152,14.5458,13.7427,4.309
153,14.7152,13.9181,4.3457
154,14.8842,14.0948,4.3826
155,15.0534,14.2731,4.4186
156,15.223,14.4512,4.4549
157,15.393,14.6305,4.4916
158,15.5656,14.81,4.5281
159,15.7379,14.9875,4.5803
160,15.9104,15.1688,4.6176
161,16.0829,15.353,4.656
162,16.257,15.5364,4.6939
163,16.4324,15.7213,4.7314
164,16.6076,15.9057,4.7711
165,16.7859,16.0924,4.8081
166,16.966,16.2801,4.8421
167,17.1435,16.4667,4.8812
168,17.3231,16.6559,4.9198
169,17.5045,16.8454,4.9578
170,17.6865,17.0353,4.9959
171,17.8687,17.2266,5.0344
172,18.0548,17.4153,5.0729
173,18.2418,17.6064,5.1111
174,18.4287,17.7985,5.1633
175,18.6177,17.9914,5.2019
176,18.8074,18.1862,5.2495
177,18.9994,18.3805,5.2895
178,19.1911,18.5755,5.3302
179,19.381,18.7743,5.3684
