N SIZE,SORTED TIME,INV. SRT. TIME,RANDOM
10,0.001,8.0E-4,0.0015
11,0.0023,0.0024,0.0034
12,0.003,0.0031,0.0052
13,0.0037,0.004,0.0069
14,0.0044,0.0051,0.009
15,0.005,0.0061,0.0115
16,0.0057,0.0071,0.0144
17,0.0066,0.0083,0.0174
18,0.0075,0.0098,0.0206
19,0.0083,0.0112,0.0239
20,0.0093,0.0127,0.0277
21,0.0105,0.0144,0.0316
22,0.0117,0.0161,0.0356
23,0.0129,0.0178,0.0399
24,0.0141,0.0197,0.0445
25,0.0153,0.0217,0.0493
26,0.0167,0.0237,0.0545
27,0.018,0.026,0.0597
28,0.0196,0.0284,0.0654
29,0.0213,0.0312,0.0713
30,0.0231,0.0341,0.0772
31,0.0246,0.0375,0.0836
32,0.0262,0.0408,0.0907
33,0.0281,0.0443,0.0977
34,0.03,0.0482,0.1051
35,0.0322,0.0519,0.1129
36,0.0344,0.0561,0.1211
37,0.0366,0.0608,0.1302
38,0.0391,0.0657,0.1391
39,0.0417,0.071,0.1484
40,0.0446,0.0763,0.1579
41,0.0474,0.0817,0.1677
42,0.0501,0.0877,0.1779
43,0.0529,0.0935,0.1884
44,0.0559,0.0996,0.1996
45,0.0592,0.1062,0.2107
46,0.0626,0.1132,0.2225
47,0.0659,0.1202,0.2345
48,0.0695,0.1276,0.247
49,0.0732,0.1355,0.2599
50,0.0773,0.1435,0.2732
51,0.0812,0.1523,0.2869
52,0.0854,0.161,0.3009
53,0.0896,0.1698,0.3152
54,0.0941,0.1794,0.3296
55,0.0986,0.1893,0.3449
56,0.1034,0.1991,0.3611
57,0.1084,0.2095,0.3771
58,0.1133,0.2204,0.3935
59,0.1181,0.2317,0.4103
60,0.1236,0.2432,0.4278
61,0.1292,0.255,0.4458
62,0.135,0.2675,0.464
63,0.1407,0.2799,0.4827
64,0.1469,0.293,0.5018
65,0.1527,0.3063,0.5215
66,0.159,0.3202,0.5418
67,0.1655,0.3346,0.5624
68,0.1723,0.3495,0.5835
69,0.1791,0.3647,0.6053
70,0.1858,0.3807,0.6275
71,0.1929,0.397,0.6503
72,0.2,0.4139,0.6735
73,0.2074,0.4309,0.6973
74,0.2149,0.4483,0.7216
75,0.2228,0.4661,0.7464
76,0.2307,0.4847,0.7719
