N SIZE,FILL IN,SUM_1,SUM_2
10,16,16,32
11,29,20,75
12,42,30,120
13,63,40,169
14,85,52,211
15,109,66,259
16,137,81,296
17,167,101,328
18,204,121,372
19,240,135,416
20,276,163,462
21,320,192,516
22,369,217,554
23,425,246,600
24,487,269,659
25,547,303,706
26,620,344,758
27,695,394,816
28,775,437,864
29,858,481,937
30,946,529,981
31,1041,575,1020
32,1147,617,1075
33,1257,677,1127
34,1371,728,1186
35,1499,782,1230
36,1630,843,1286
37,1773,908,1343
38,1919,991,1397
39,2071,1058,1463
40,2243,1149,1519
41,2412,1215,1580
42,2588,1297,1649
43,2781,1380,1712
44,2983,1467,1771
45,3189,1561,1832
46,3404,1663,1891
47,3626,1770,1960
48,3862,1881,2033
49,4102,1988,2094
50,4354,2112,2155
51,4623,2228,2205
52,4893,2356,2271
53,5180,2470,2328
54,5474,2619,2389
55,5783,2771,2451
56,6111,2918,2534
57,6439,3061,2600
58,6781,3211,2668
59,7130,3342,2748
60,7489,3504,2811
61,7865,3663,2879
62,8257,3815,2960
63,8652,4002,3041
64,9069,4199,3124
65,9498,4401,3197
66,9942,4609,3274
67,10407,4793,3361
68,10873,5040,3436
69,11357,5248,3517
70,11856,5503,3604
71,12377,5741,3689
72,12902,5981,3793
73,13453,6244,3858
74,14012,6520,3953
75,14592,6794,4055
76,15170,7094,4145
77,15773,7388,4242
78,16391,7668,4341
79,17033,7976,4427
80,17675,8295,4534
81,18351,8608,4626
82,19022,8936,4720
83,19722,9292,4837
84,20437,9634,4941
85,21169,9994,5046
86,21924,10341,5144
87,22698,10717,5261
88,23471,11064,5369
89,24281,11425,5485
90,25104,11813,5605
91,25950,12232,5716
92,26814,12627,5838
93,27694,13042,5966
94,28579,13405,6098
95,29499,13843,6230
96,30427,14228,6381
97,31380,14680,6544
98,32364,15120,6707
99,33354,15594,6867
100,34365,16067,7032

