N SIZE,SUM,FILL IN,MAX
10,7,20,43
15,10,22,91
20,16,25,140
25,20,31,183
30,24,35,226
35,30,41,277
40,36,46,326
45,40,51,370
50,45,56,417
55,50,61,482
60,57,65,527
65,64,70,587
70,70,76,647
75,75,81,724
80,81,86,790
85,90,91,864
90,96,96,934
95,107,102,1009
100,120,106,1091
105,126,111,1182
110,134,116,1258
115,145,122,1360
120,156,126,1450
125,168,131,1544
130,179,137,1615
135,188,141,1704
140,198,147,1797
145,210,151,1898
150,223,157,1999
155,236,162,2102
160,248,166,2219
165,262,171,2333
170,276,177,2433
175,288,182,2563
180,299,187,2673
185,316,192,2772
190,331,196,2890
195,347,202,3007
200,360,209,3116
205,374,213,3245
210,393,218,3362
215,410,224,3504
220,428,229,3620
225,444,234,3731
230,461,240,3841
235,479,243,3978
240,496,247,4085
245,525,251,4228
250,547,257,4384
255,567,262,4539
260,587,266,4684
265,608,272,4850
270,628,276,5026
275,651,282,5198
280,672,287,5327
285,694,292,5476
290,717,297,5607
295,739,302,5777
300,762,307,5906
305,786,312,6058
310,805,317,6210
315,830,322,6365
320,852,327,6541
325,875,333,6688
330,895,338,6875
335,920,342,7028
340,945,347,7190
345,971,352,7382
350,996,358,7545
355,1017,362,7719
360,1038,368,7905
365,1066,373,8082
370,1092,378,8296
375,1119,382,8473
380,1150,387,8646
385,1180,396,8846
390,1209,397,9026
395,1237,403,9213
400,1265,409,9399
405,1293,412,9592
410,1322,418,9773
415,1354,422,9984
420,1381,428,10162
425,1413,433,10354
430,1446,438,10546
435,1481,443,10743
440,1509,448,10944
445,1541,453,11135
450,1573,458,11342
455,1607,462,11538
460,1641,468,11747
465,1675,473,11931
470,1709,479,12136
475,1743,482,12321
480,1774,488,12552
485,1807,495,12773
490,1837,498,13010
495,1873,504,13214
500,1910,508,13443
505,1944,513,13671
510,1982,518,13913
515,2017,523,14236
520,2056,531,14455
525,2092,535,14658
530,2130,540,14890
535,2168,546,15129
540,2207,548,15365
545,2246,554,15562
550,2286,558,15796
555,2325,563,16047
560,2365,569,16303
565,2409,575,16530
570,2448,578,16804
575,2485,583,17049
580,2526,589,17320
585,2565,593,17554
590,2604,599,17795
595,2648,604,18028
600,2688,608,18273
605,2729,614,18512
610,2771,619,18778
615,2814,624,19058
620,2858,629,19299
625,2900,634,19540
630,2945,640,19790
635,2992,643,20060
640,3037,656,20358
645,3082,654,20639
650,3127,659,20919
655,3174,664,21175
660,3220,669,21472
665,3263,675,21733
670,3307,679,21993
675,3351,684,22253
680,3399,689,22517
685,3447,694,22793
690,3496,699,23097
695,3547,707,23405
700,3595,712,23788
705,3643,719,24063
710,3693,721,24346
715,3742,726,24662
720,3795,732,24967
725,3843,739,25248
730,3895,744,25555
735,3951,747,25855
740,4001,752,26184
745,4053,759,26495
750,4102,763,26787
755,4155,768,27088
760,4210,774,27386
765,4264,777,27714
770,4318,783,28050
775,4372,789,28386
780,4423,793,28708
785,4477,798,29037
790,4530,804,29362
795,4586,807,29703
800,4643,811,30041
805,4701,818,30402
810,4755,825,30704
815,4810,828,31033
820,4867,832,31395
825,4921,839,31721
830,4979,843,32062
835,5037,848,32379
840,5099,853,32721
845,5157,857,33043
850,5213,866,33372
855,5273,869,33716
860,5331,878,34069
865,5390,880,34414
870,5446,884,34752
875,5506,889,35072
880,5567,895,35440
885,5627,898,35768
890,5693,904,36104
895,5755,908,36439
900,5822,914,36776
905,5886,921,37117
910,5948,923,37458
915,6013,928,37943
920,6073,934,38323
925,6131,939,38713
930,6196,944,39080
935,6257,948,39449
940,6322,955,39832
945,6382,958,40208
950,6445,966,40573
955,6513,970,40942
960,6579,974,41315
965,6645,979,41698
970,6708,984,42083
975,6774,988,42442
980,6844,993,42800
985,6908,998,43178
990,6975,1004,43545
995,7042,1011,43909
1000,7111,1014,44312
1005,7183,1021,44709
1010,7250,1023,45115
1015,7321,1029,45488
1020,7390,1034,45917
1025,7457,1040,46300
1030,7529,1045,46719
1035,7598,1050,47109
1040,7666,1055,47500
